"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
,,,0.4582142857,,0.3332142857,,0.4201785714,,0.4017857143,,0.1946428571,,0.3808928571,,0.3808928571,,0.27375,,0.4969642857,,0.4642857143,,0.4166071429,,0.4107142857,,0.3214285714,,0.5094642857,,0.2553571429,,0.335,,0.3607142857,,0.3392857143,,0.3339285714,,0.2648214286,,0.375,,0.375,,0.2946428571,,0.1964285714,,0.2232142857,,0.4732142857,,0.3964285714,,0.2892857143,,0.3160714286,,0.3160714286
1. Regulatory Transparency,Scoring Rule,,0.6071428571,,0.3928571429,,0.5357142857,,0.5,,0.25,,0.4285714286,,0.5357142857,,0.3928571429,,0.7142857143,,0.7142857143,,0.5357142857,,0.6428571429,,0.5714285714,,0.6428571429,,0.2857142857,,0.4285714286,,0.4285714286,,0.5714285714,,0.4285714286,,0.3214285714,,0.5357142857,,0.5357142857,,0.4642857143,,0.2142857143,,0.1785714286,,0.6428571429,,0.6428571429,,0.3928571429,,0.5,,0.4285714286
Availability of acts/rules in the state edu. dept. website,"Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,Limited ,0.5,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Limited,0.5,Yes,1,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,Limited ,0.5,Yes,1,Limited,0.5,No,0,No,0,No,0,Yes,1,No,0,Limited,0.5,Limited ,0.5
Existence of consolidated education manual in state edu dept website,"Yes=1, No=0, Limited=0.5",No,0,Limited,0.5,Limited ,0.5,Limited,0.5,No,0,No,0,Yes,1,Limited,0.5,Limited,0.5,Limited,0.5,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Limited ,0.5,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0
"Availability of archived circulars","Yes=1, No=0, Limited=0.5",Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Limited,0.5,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Limited,0.5,No,0,No,0,Yes,1,Yes,1,Limited,0.5,Limited,0.5,Yes,1
Availability of non-legal guides/manuals,"Yes=1, No=0, Limited=0.5",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Limited,0.5,Limited,0.5,Limited,0.5,Yes,1,No,0,Yes,1,No,0,Yes,1,No,0,Limited,0.5,No,0,Yes,1,Limited,0.5,Yes,1,Limited,0.5,No,0,No,0,Yes,1,No,0,Yes,1,No,0,No,0
Presence of FAQs section in the state website,"Yes=1, No=0, Limited=0.5",No,0,No,0,Limited ,0.5,No,0,No,0,No,0,Limited,0.5,No,0,No,0,No,0,Limited,0.5,No,0,Limited,0.5,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0.5,Yes,1,Yes,1
Availability of checklists/templates on the portal,"Yes=1, No=0, Limited=0.5",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,Limited,0.5,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Limited,0.5,No,0,No,0,No,0,No,0,Limited,0.5,No,0,No,0.5,No,0,No,0
Availability of search functionality in state acts and rules,"Yes=1, No=0, Limited=0.5",Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Limited,0.5,Yes,1,Yes,1,Limited,0.5,Limited,0.5,Yes,1,Yes,1,Yes,1,Limited,0.5,Yes,1,Limited,0.5,Yes,1,Yes,1,Limited ,0.5,Yes,1,Yes,1,Limited,0.5,Yes,1,Yes,1
"If separate categories are made for acts, rules, and regulations","Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Limited,0.5,No,0,Yes,1,No,0,Limited,0.5,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,Limited,0.5,Yes,1
